Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Turkish Language and Literature Department,PHIL 403,Ethics,Gen/College Elec,,3,2,3,5
Turkish Language and Literature Department,PHIL 404,Political Philosophy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 406,Graduate Project,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 411,Philosophy of Cognitive Sciences,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 412,Philosophy of Natural Sciences,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 413,Existentialism,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 414,Hermeneutics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 415,Topics in Contemporary Philosophy,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 416,Philosophy of Tech./Bioethics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 417,Philosophy of Mind/Nat.of Consciousness,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 418,Artificial Intelligence,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 419,Contemporary Turkish Thought,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 422,Contemporary Islamic Thought,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 423,Philosophy Of Cinema,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 424,Topics in Analytical Philosophy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHIL 425,Topics in Continental Philosophy,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PHIL 426,Topics in History of Philosophy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PHYS 103,Physics I - Mechanics and Dynamics,Gen/College Elec,,3,2,4,6
Turkish Language and Literature Department,PHYS 103L,Physics I - Lab,Gen/College Elec,,0,2,1,1
Turkish Language and Literature Department,PHYS 104,Physics II - Electromagnetics and Modern Physics,Gen/College Elec,,3,2,4,6
Turkish Language and Literature Department,PHYS 104L,Physics II - Lab,Gen/College Elec,,0,2,1,1
Turkish Language and Literature Department,POLS 201,Political Science,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 202,International Relations,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 203,Classics of Political Thought: The Ancients,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 204,Classics of Political Thought: The Moderns,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 205,Emergence of Modern International Order,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 207,Fundamentals of Law,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 208,Constitutional Politics,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 214,Contemporary International Politics,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 219,Macro Economics,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 220,Micro Economics,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 301,International Law and Organizations,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 302,Contemporary Political Ideologies,Gen/College Elec,,3,0,3,7
Turkish Language and Literature Department,POLS 303,Research Methods,Gen/College Elec,,3,0,3,7
Turkish Language and Literature Department,POLS 305,Political Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 308,Comparative Political Systems,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 312,Ethics and Law,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 313,Geopolitics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 315,Diplomatic Correspondence,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 316,European Union,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 317,Comparative Foreign Policy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 318,Administrative Structure of Turkey,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 319,Classical Islamic Political Thought,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 321,Public Administration,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 322,Political Parties and Pressure Groups,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 323,Administrative Law,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 324,History of Public Administration in Turkey,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 325,Turkish Constitutional Law,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 327,Conflicts in the Modern Middle East,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 328,Theories of International Relations,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 330,Public Administration in Turkey,Gen/College Elec,POLS 201,0,0,3,6
Turkish Language and Literature Department,POLS 339,Islamic Political Thought in The Modern Era,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 340,Diplomacy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 401,Current Issues in Turkish Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 402,Turkish Foreign Policy,Gen/College Elec,POLS 202,3,0,3,6
Turkish Language and Literature Department,POLS 403,International Political Economy,Gen/College Elec,POLS 202,3,0,3,6
Turkish Language and Literature Department,POLS 404,Conflict Analysis and Resolution,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 405,Comparative Political Economy,Gen/College Elec,POLS 201,3,0,3,6
Turkish Language and Literature Department,POLS 406,Politics of East Asia,Gen/College Elec,POLS 202,3,0,3,6
Turkish Language and Literature Department,POLS 407,China in World Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 411,Foreign Policy Analysis,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 412,Nationalism and Ethnicity,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 413,"Issues in State, Politics and Society in Turkey",Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,POLS 414,Democratic Theory,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 415,American Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 416,Global Governance,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 417,"Politics, Society and State in the Middle East",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 418,Globalization,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 419,Russia in World Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 421,Central Asia in World Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 422,American Foreign Policy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 423,Globalization Citizenship and Multiculturalism,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 424,"Politics, Society and State in the Balkans",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 427,International Order and Great Power Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 428,Issues of International Security,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 429,Human Rights Law,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 430,Politics of Energy and Sources,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 432,Islam and Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 434,Russian Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 435,Topics in Political Theory,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 436,Comparative Political Thought,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 437,Special Topics in Political Science,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 438,Media and Foreign Policy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 439,Globalization and the Muslim World,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 440,Political Violence and Terrorism,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 441,Europe and Islam,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 442,Politics in Eurasia,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 443,Gender in the Middle East,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 444,Human Rights in Global Order,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 446,Europe and the Middle East,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 448,Africa in World Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 454,Identity and Nationalism in Modern Turkey,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 465,Developing World in Global Politics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 490,Research and Readings in Political Science and International Relations,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 491,Research Design in Political Science,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 493,Turkish-American Relations,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,POLS 495,Internship in Political Science and International Relations,Gen/College Elec,"POLS 201, POLS 202",0,0,0,6
Turkish Language and Literature Department,PSY 102,Introduction to Psychology,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,PSY 203,Statistics,Gen/College Elec,PSY 102,3,2,4,7
Turkish Language and Literature Department,PSY 204,Research Methods,Gen/College Elec,"PSY 203, PSY 102",3,2,4,8
Turkish Language and Literature Department,PSY 212,Social Psychology,Gen/College Elec,PSY 102,3,0,3,6
Turkish Language and Literature Department,PSY 231,Biological Psychology,Gen/College Elec,PSY 102,3,0,3,6
Turkish Language and Literature Department,PSY 252,Lifespan Developmental Psychology,Gen/College Elec,PSY 102,3,0,3,6
Turkish Language and Literature Department,PSY 261,Personality,Gen/College Elec,PSY 102,3,0,3,6
Turkish Language and Literature Department,PSY 301,Infant Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 302,Advanced Research Methods,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 311,Political Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 312,Psychology of Women and Gender,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 313,Psychology of Culture and Diversity,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 314,Evolutionary Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 315,Social Cognition,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 316,Adolescent Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 317,Intimate Relationships,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 319,Traffic Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 322,Introduction to Clinical Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 323,Child and Adolescent Psychopathology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 325,Abnormal Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 326,Cognitive Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 328,Educational Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 330,School Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 331,Sensation and Perception,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 332,Neuropsychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 341,Learning,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 371,Selected Topics in Psychology 3,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 372,Selected Topics in Psychology 4,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 373,Selected Topics in Psychology 5,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 374,Selected Topics in Psychology 6,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 375,Selected Topics in Psychology 7,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 376,Collective Memory,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 380,Positive Psychology,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 388,Clinical Case Studies,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 391,Selected Topics in Psychology I,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 392,Directed Research,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 393,Directed Research II,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 394,Independent Research I,Gen/College Elec,At Least Success 56 Crh,3,0,3,6
Turkish Language and Literature Department,PSY 402,Measurement in Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 403,Advanced Statistics for Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 407,Ethics and Professionalism,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 412,Advanced Social Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 413,Family Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 414,History and Systems in Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 423,Psychology of Trauma,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 424,Advanced Seminar in Current Issues of Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 431,Health Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 432,Psychopharmacology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 441,Human Memory,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 442,Clinical Interview Skills,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 452,Forensic Pyschology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 454,Cognitive Neuroscience,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 461,Motivation and Emotion,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 462,Psychology of Language,Gen/College Elec,,0,0,3,6
Turkish Language and Literature Department,PSY 471,Selected Topics in Psychology 8,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 472,Selected Topics in Psychology 9,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 473,Selected Topics in Social Psychology I,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 474,Selected Topics in Psychology 11,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 475,Selected Topics in Psychology 12,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 487,"Creativity, Motivation and Well Being",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 491,Selected Topics in Psychology II,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 492,Directed Research III,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 493,Directed Research IV,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 494,Independent Research II,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,PSY 495,Internship in Psychology,Gen/College Elec,,0,0,0,6
Turkish Language and Literature Department,RUS 101,Russian I,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,RUS 102,Russian II,Gen/College Elec,,0,0,3,5
Turkish Language and Literature Department,RUS 201,Russian III,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,RUS 202,Russian IV,Gen/College Elec,,0,0,3,5
Turkish Language and Literature Department,SOC 201,Sociological Imagination,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 203,Statistics,Gen/College Elec,,4,0,4,7
Turkish Language and Literature Department,SOC 207,Introduction to Media and Communication Studies,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 210,Ethnography in/of Media,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 221,Social Stratification,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 225,Research Methods,Gen/College Elec,,3,2,3,7
Turkish Language and Literature Department,SOC 230,Sociology of Work and Organizations,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 233,Sociology of the Family,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 241,Social Anthropology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 242,Urban Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 244,International Migration in a Globalized World,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 254,Power and Inequality,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 256,Population and Society,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 260,Social Movements,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 261,Welfare and Social Policy,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 268,Sociology of Law,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 302,Contemporary Political Ideologies,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 303,Ottoman-Turkish Modernization,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 305,Nations and Nationalism,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 307,Political Sociology,Gen/College Elec,,3,0,3,7
Turkish Language and Literature Department,SOC 312,Social Psychology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 315,Social Networks,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 321,Sociology of Agriculture and Food,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 322,Nationalism and Ethnicity,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 323,Public Space and the Contemporary City,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 326,"Citizenship, Multiculturalism and Globalization",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 331,Social Theory I : Classics,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 332,Social Theory II: Contemporary Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 334,Social Change and Modernization,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 337,Introduction to New Media,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 344,Urban Studies: Contemp. Approaches,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 356,Data Analysis,Gen/College Elec,,2,2,3,6
Turkish Language and Literature Department,SOC 361,Environmental Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 371,Development of Sociology in Turkey,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 392,Sociology of Contemporary Muslim Experiences,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 405,Historical-Geographical Perspectives on Urban Studies,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 406,Philosophy of Science,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 411,Selected Topics in Anthropology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 412,Political Anthropology,Gen/College Elec,SOC 312,3,0,3,6
Turkish Language and Literature Department,SOC 414,Political Anthropology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 415,Sociology of Everyday Life,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 416,Understanding Globalization and Localization,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 417,Economic Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 418,Globalization,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 420,Sociology of Religion,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 425,Gender and Society,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 427,"Identity, Culture and Ethnicity in Turkey",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 439,Globalization and the Muslim World,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 441,Europe and Islam,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 446,Anthropology of Information Technology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 448,Sociology of Popular Culture and Media,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 451,Urban Ethnography,Gen/College Elec,,3,1,3,6
Turkish Language and Literature Department,SOC 453,Qualitative Social Analysis,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 455,Comparative Sociology of Religions,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 457,Research Seminar on Concepts in Historical Change,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 458,Historical Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 460,"Europe, the Enlightenment and Modernity",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 461,Modern Communitarianisms and Turkey,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 464,"Society, Power and Justice in the Middle East",Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 468,Introduction to Urban Research Methods,Gen/College Elec,,3,1,3,6
Turkish Language and Literature Department,SOC 472,Education and Society,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 479,Sociology of Labor and Employment,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 480,Anthropology of Health and Illness,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 487,Comparative Study of Revolutions,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 490,Current Issues in Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 491,Special Topics in Urban Studies,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 492,Selected Topics in Sociological Theory,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 493,Advanced Topics in Methodology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 494,Recent Developments in Social Research,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 495,Internship in Sociology,Gen/College Elec,,0,0,0,6
Turkish Language and Literature Department,SOC 496,Independent Research in Sociology,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,SOC 499,Senior Thesis,Gen/College Elec,,3,0,3,6
Turkish Language and Literature Department,TRI 101,Introduction to Translation and Translation Studies I,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 102,Introduction to Translation and Translation Studies II,Gen/College Elec,TRI 101,3,0,3,5
Turkish Language and Literature Department,TRI 201,Technical Translation,Gen/College Elec,TRI 102,3,0,3,5
Turkish Language and Literature Department,TRI 202,Translation Technologies,Gen/College Elec,TRI 102,3,0,3,5
Turkish Language and Literature Department,TRI 203,English Literature,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 204,Media and Advertisement Translation,Gen/College Elec,TRI 102,3,0,3,5
Turkish Language and Literature Department,TRI 205,Linguistics,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 206,Introduction to Interpreting,Gen/College Elec,TRI 101,3,0,3,5
Turkish Language and Literature Department,TRI 210,Localization,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 301,Translation Theories,Gen/College Elec,TRI 102,3,0,3,5
Turkish Language and Literature Department,TRI 302,Literary Translation,Gen/College Elec,TRI 102,3,0,3,5
Turkish Language and Literature Department,TRI 303,Consecutive Interpretation,Gen/College Elec,TRI 206,3,0,3,5
Turkish Language and Literature Department,TRI 304,Simultaneous Interpretation I,Gen/College Elec,TRI 303,3,0,3,5
Turkish Language and Literature Department,TRI 310,Translation of Political Texts,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 311,Community Interpreting,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 312,Translation of Economics Texts,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 313,Medical Translation,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 314,Translation of Legal Texts,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 401,Translation History,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 402,Translation Criticism,Gen/College Elec,TRI 301,3,0,3,6
Turkish Language and Literature Department,TRI 404,Senior Project,Gen/College Elec,,3,0,3,9
Turkish Language and Literature Department,TRI 410,Translation of Social Sciences Texts,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 411,Proofreading and Editing,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 412,Translation of Subtitles and Dubbing for Film and Television,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 413,Discourse Analysis,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 414,Turkish-English Litrary Tanslation,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 415,Introduction to Cultural Studies,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 416,Internship,Gen/College Elec,,0,0,0,5
Turkish Language and Literature Department,TRI 420,Consecutive Interpreting II,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 421,Simultanoues Interpreting II,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 422,Media Interpreting,Gen/College Elec,,3,0,3,5
Turkish Language and Literature Department,TRI 423,Simultaneous Interpreting Practice in Conference Situations,Gen/College Elec,,3,0,3,5
English Language and Literature Department,ISS 181,H:el-Medhal ile'n-Nususi't-Turasiye,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 182,H:Edebu'z-Zühd ve'r-Rekaik,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 183,H:el-Maksud fi's-Sarf,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 184,H:et-Tuhfetu's-Seniyye,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 281,H:el-Kıraa fi'I-Edebi'l-Muasir,Gen/Coll/Departmental Elective,,3,0,3,4
English Language and Literature Department,ISS 282,H:et-Takrib li'n-Nevevi,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 284,H:izharu'l-Esrar li'I-Birgivi: Mamulat ve irab,Gen/Coll/Departmental Elective,,4,0,4,6
English Language and Literature Department,ISS 285,H:el-Emali fi'I-Akide,Gen/Coll/Departmental Elective,,2,0,2,3
English Language and Literature Department,ISS 286,H:Klasik Mantık ve Münazara,Gen/Coll/Departmental Elective,,3,0,3,4
